Filename,Title,Authors,Application,Definition_of_Deepfake,Identity_Source,Identity_Source_Reasoning,Intent,Intent_Reasoning,Modality,Modality_Reasoning,Manipulation_Granularity,Manipulation_Granularity_Reasoning,Cites,Year,Source,Publisher,RelatedURL
YVRM786I_Maheshwari and Paulchamy - 2024 - Securing online integrity a hybrid approach to deepfake detection and removal using Explainable AI.pdf,Securing online integrity: a hybrid approach to deepfake detection and removal using Explainable AI and Adversarial Robustness Training,"R Uma Maheshwari, B Paulchamy","Online integrity, fraud prevention, identity theft",AI-generated manipulated images or videos used for deception,Original-to-Target Transfer,"The paper discusses face swapping deepfakes where identities are transferred between people, which is a form of targeted attribute manipulation.",Non-deceptive,"The intent focuses on detection and removal rather than creation for deception, thus classified as non-deceptive.",Visual,The paper deals with visual media such as images and videos used to create deepfakes.,Holistic,"The deepfakes involve complete identity replacement, making it holistic.",11,2024,Automatika: časopis za automatiku …,hrcak.srce.hr,"https://scholar.google.com/scholar?q=related:ZEE-C18AckMJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
7MHWISA7_Zhang et al. - 2023 - Shallow-and deep-fake image manipulation localization using deep learning.pdf,Shallow-and deep-fake image manipulation localization using deep learning,"J Zhang, H Tohidypour, Y Wang…",Entertainment and Social Media,Deepfakes involve AI-generated manipulations of images to deceive or alter identities.,Original-to-Target Transfer,"The paper discusses both shallow and deep fake manipulations, focusing on identity alterations.",Deceptive,The focus is on detecting deceptive uses of images for fraud or deception.,Visual,The paper deals with visual image manipulation techniques.,Holistic,No reasoning provided,11,2023,2023 International …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:jfMcQxFAPkgJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
Regulating_Deep_Fakes_in_the_Artifi.pdf,Regulating deep fakes in the Artificial Intelligence Act,M Łabuz,"Identity theft/fraud (malicious impersonation), Political manipulation (fake political content), Disinformation, Undermining trust in information and media","Deepfakes are artificially generated videos that realistically swap faces between people, often used to deceive or mislead.",Original-to-Target Transfer,"The paper discusses face swapping deepfakes where identities are transferred between people, which is an example of original-to-target transfer.",Deceptive,"The definition mentions these are often used to deceive, and applications include fraud and identity theft, making the intent deceptive.",Visual,"The paper focuses on video-based visual deepfakes, hence classified under 'Visual'.",Holistic,The deepfakes discussed involve complete face/identity replacement rather than specific attribute changes.,13,2023,Applied Cybersecurity &Internet Governance,ceeol.com,"https://scholar.google.com/scholar?q=related:zq1TieVNP7oJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
7SF4FI63_Al-Adwan et al. - 2024 - Detection of Deepfake Media Using a Hybrid CNNï¿½ï¿½ï¿½RNN Model and Particle Swarm Optimization (PSO) Alg,Detection of Deepfake Media Using a Hybrid CNN–RNN Model and Particle Swarm Optimization (PSO) Algorithm,"A Al-Adwan, H Alazzam, N Al-Anbaki, E Alduweib",Deceptive,"Artificially generated media designed to deceive individuals or systems by mimicking real content such as images, videos, or audio.",Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping and identity replacement between individuals, which are targeted manipulations.",Deceptive,The detection of these deepfakes is primarily for identifying deceptive uses such as spreading disinformation and fake news.,Visual,The focus is on visual media types like videos that involve both specific attribute changes (faces) and overall content alterations.,Both Targeted and Holistic,"The deepfakes involve targeted attribute modifications (like faces) and holistic transformations of entire identities, leading to a mixed approach in manipulation.",14,2024,Computers,mdpi.com,"https://scholar.google.com/scholar?q=related:GJowcxuooKsJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
A Multimodal Measurement Of The Impact Of Deepfakes On The Ethica.pdf,A multimodal measurement of the impact of deepfakes on the ethical reasoning and affective reactions of students,"V Ramachandran, C Hardebolle, N Kotluk, T Ebrahimi…",The paper does not explicitly mention specific applications but focuses on the impact of deepfakes on students' ethical reasoning and emotional reactions.,Deepfakes are artificial images or videos that manipulate identities to deceive or alter perceptions.,Original-to-Target Transfer,"The paper discusses how deepfakes affect students' ethical reasoning, suggesting they involve identity manipulation.",Deceptive,"The study focuses on understanding the impact rather than generating malicious content, hence non-deceptive intent.",Visual,The paper's focus is on visual media involving face swapping or identity alteration.,Targeted Attribute,The deepfakes involve changing specific attributes like identity to cause ethical dilemmas.,3,2023,,arrow.tudublin.ie,"https://scholar.google.com/scholar?q=related:Sk42ogzsnx8J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
Deepfake Videos_ When Seeing Isnt Believing.pdf,Deepfake videos: When seeing isn't believing,HK Hall,"Political manipulation, disinformation spreading, entertainment",Artificially generated videos that manipulate or swap identities to deceive viewers,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping and identity replacement, such as Aï¿½ï¿½ï¿½B transforma",Deceptive,"The intent is deceptive, as the deepfakes are used to spread disinformation and manipulate public perception during events like the 2016 election.",Visual,The paper focuses on video-based visual deepfakes for spreading content.,Holistic,"The deepfakes involve complete identity replacement, not just specific attribute changes.",48,2018,Cath. UJL &Tech,HeinOnline,"https://scholar.google.com/scholar?q=related:-nLCAcqmXDYJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
1-s2.0-S0747563223001127-main.pdf,Let the dead talk: How deepfake resurrection narratives influence audience response in prosocial contexts,"H Lu, H Chu","Prosocial contexts (e.g., drunk driving, domestic violence)",Digital face swaps or realistic image manipulations used to create resurrection narratives.,Original-to-Target Transfer,"The paper discusses face swapping deepfakes where identities are replaced, such as resurrection narratives.",Non-deceptive,The study focuses on how these non-deceptive narratives influence prosocial behavior without malicious intent.,Visual,The paper examines visual media forms like images and narratives.,Holistic,"The deepfakes involve replacing entire identities, focusing on attributes like faces.",29,2023,Computers in Human Behavior,Elsevier,"https://scholar.google.com/scholar?q=related:bowe7OwJ97cJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
RZAICYNJ_Gï¿½ï¿½era and Delp - 2018 - Deepfake video detection using recurrent neural networks,Deepfake video detection using recurrent neural networks,"D Güera, EJ Delp","Political distress, blackmail, terrorism events",Artificially generated videos that involve face swaps to create manipulated content for deceptive purposes,Original-to-Target Transfer,The paper discusses deepfakes involving face swaps where identities are transferred from one person to another.,Deceptive,"The applications include creating fake political content and terrorist events, which are deceptive purposes.",Visual,The paper focuses on video-based visual deepfakes.,Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes.,1389,2018,2018 15th IEEE international conference on …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:QuICtwpTqMgJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
9GDLGK8C_Layton et al. - 2024 - Every Breath You Don't Take Deepfake Speech Detection Using Breath.pdf,Every Breath You Don't Take: Deepfake Speech Detection Using Breath,"S Layton, T De Andrade, D Olszewski, K Warren…",Speech and audio processing in security contexts,"Synthetic speech used for deception, often created through deep learning models to mimic real human speech",Original-to-Target Transfer,"The paper discusses using breath patterns as a synthetic feature for deepfake detection, which involves holistic identity manipulation beyond specific attributes.",Deceptive,The intent is to detect and identify synthetic speech used for deceptive purposes in security applications.,Audio,The paper focuses on audio-based deepfakes specifically related to speech detection.,Holistic,"The manipulation involves altering breath patterns, which are holistic features of human speech.",1,2024,arXiv preprint arXiv …,arxiv.org,"https://scholar.google.com/scholar?q=related:JtlWBxNd8QIJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
s41598-022-23081-4.pdf,DeepFake knee osteoarthritis X-rays from generative adversarial neural networks deceive medical experts and offer augmentation potential to automatic …,"F Prezja, J Paloneva, I Pölönen, E Niinimäki…","Medical imaging, specifically X-rays of knees with osteoarthritis",Synthetic images created by generative adversarial networks (GANs) that aim to mimic real medical X-ray images of knees with varying degrees of osteoarthritis.,Original-to-Target Transfer,The deepfakes are synthetic images designed to look like real knee X-rays with altered osteoarthritis severity.,Deceptive,"The intent is to deceive medical professionals by making synthetic X-rays appear authentic, potentially leading to incorrect diagnostic decisions.",Visual,The focus is on visual data in the form of X-ray images.,Targeted Attribute,The deepfakes modify specific attributes such as osteoarthritis severity rather than replacing entire identities.,54,2022,Scientific Reports,nature.com,"https://scholar.google.com/scholar?q=related:ziG1E10vCY4J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
ssrn-4331759.pdf,AI in Criminal Law: an overview of AI applications in substantive and procedural Criminal Law,B Custers,Legal applications (law enforcement and justice-related programs),"Deepfakes used for evaluating the effectiveness of sanctions and law enforcement tools, such as A/B optimization and algorithmic profiling in criminal law.",Original-to-Target Transfer,"The paper discusses deepfakes used for replacing identities between individuals, such as in A/B profiling.",Non-deceptive,"The intent is to assess and improve the effectiveness of sanctions and law enforcement tools, which are legitimate purposes.",Visual,The applications focus on visual representations of legal scenarios involving identity replacement.,Holistic,"The deepfakes involve holistic changes, such as replacing entire identities in A/B profiling.",37,2022,Law and artificial intelligence: regulating AI and …,Springer,"https://scholar.google.com/scholar?q=related:M7Wj7oONCxoJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
